TI ,AU ,AE ,AB%,DC,DC2,DC3,DC4
"Running control system for automatic guided vehicles, has control part for performing control processing by which approach to intersection is permitted for to succeeding vehicle when vehicle is judged to be approachability at intersection",TAKASE A,TOYODA AUTOMATIC LOOM WORKS (TOYX-C),"%%%The%system%(1)%has%a%control%part%performing%a%judgment%process%to%make%an%approach%availability%judgment%to%an%intersection%(J)%of%a%succeeding%vehicle%(10b)%based%on%stop%position%information%and%vehicle%dimension%when%a%communication%part%receives%the%stop%position%information%of%a%preceding%vehicle%(10A).%The%control%part%performs%a%control%processing%by%which%approach%to%the%intersection%is%permitted%with%respect%to%the%succeeding%vehicle%when%the%succeeding%vehicle%is%judged%to%be%approachability%in%the%judgment%process%at%the%intersection.%%%%%-%Running%control%system%for%autonomous%vehicles%i.e.%automatic%guided%vehicles.%%%%%-%The%control%part%performs%the%control%processing%by%which%approach%to%the%intersection%is%permitted%with%respect%to%the%succeeding%vehicle%when%the%succeeding%vehicle%is%judged%to%be%approachability%in%the%judgment%process%at%the%intersection,%so%that%the%system%can%perform%running%control%of%the%autonomous%vehicles%efficiently.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%a%top%view%of%a%running%control%system.%%%%Intersection%(J)%%%%Running%control%system%(1)%%%%Driving%working%area%(9)%%%%Preceding%vehicle%(10A)%%%%Succeeding%vehicle%(10b)%",T06(ProcessandMachineControl),NA,NA,NA
"Method for identifying and responding to vehicles engaged in parallel parking maneuver, involves stopping pattern of actions adjacent to designated parking area identified in detailed map information",SILVER D H;  FERGUSON D I F,WAYMO LLC (WAYM-Non-standard);  GOOGLE INC (GOOG-C),"%%%The%method%involves%receiving%(1010)%sensor%data%corresponding%to%objects%in%a%first%vehicle's%environment%having%autonomous%driving%mode%where%one%or%more%computing%devices%maintain%default%distance%between%first%vehicle%and%other%vehicles.%The%sensor%data%of%object%corresponding%to%second%vehicle%in%lane%in%front%of%first%vehicle%is%identified%(1020).%The%second%vehicle%is%engaged%in%parallel%parking%maneuver%is%determined%(1030).%The%pattern%of%actions%includes%stopping%adjacent%to%designated%parking%area%identified%in%%map%information.%%%%%-%Method%for%identifying%and%responding%to%vehicles%engaged%in%parallel%parking%maneuver.%%%%%-%The%autonomous%vehicle%from%stopping%and%waiting%too%long%for%the%other%vehicle%to%complete%the%parallel%parking%maneuver%is%prevented,%so%the%likelihood%of%delays%to%other%drivers%or%vehicles%located%behind%the%autonomous%vehicle%in%the%same%lane%is%reduced.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for%the%following:%%%%(1)%a%system%for%identifying%and%responding%to%vehicles%engaged%in%a%parallel%parking%maneuver;%and%%%%(2)%a%non-transitory%computer-readable%recording%medium%storing%program%for%identifying%and%responding%to%vehicles%engaged%in%a%parallel%parking%maneuver.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%flow%chart%illustrating%method%for%identifying%and%responding%to%vehicles%engaged%in%parallel%parking%maneuver.%%%%Step%for%receiving%sensor%data%corresponding%to%a%first%vehicle%(1010)%%%%Step%for%identifying%sensor%data%of%object%corresponding%to%a%second%vehicle%(1020)%%%%Step%for%determining%second%vehicle%engaged%in%parallel%parking%maneuver%(1030)%%%%Step%for%determining%when%second%vehicle%to%be%engaged%in%parallel%parking%maneuver%(1040)%",T01(DigitalComputers),T06(ProcessandMachineControl),X22(AutomotiveElectrics),NA
"Method for operating autonomous vehicle, involves determining set of motion parameters based on expected traction value and vehicle control operation is implemented based on determined set of motion parameters",RANDER P;  BRADLEY D M;  WOOD M,UBER TECHNOLOGIES INC (UBER-Non-standard),"%%%The%method%involves%determining%(810)%an%expected%traction%value%for%a%region%of%a%road%segment%on%which%the%vehicle%is%approaching.%A%set%of%motion%parameters%is%determined%(820)%based%on%the%expected%traction%value.%A%vehicle%control%operation%is%implemented%(830)%based%on%the%determined%set%of%motion%parameters.%A%reflectance%characteristic%of%light%is%determined%from%a%surface%of%the%road%segment.%The%set%of%traction%values%is%received%from%a%network%service%when%the%vehicle%is%on%a%trip%that%is%to%go%through%the%road%segment.%%%%%-%Method%for%operating%autonomous%vehicle.%%%%%-%The%network%service%provides%the%submaps%to%the%vehicle,%and%the%submaps%includes%versioning%to%enable%the%network%service%to%identify%vehicles%in%need%of%updates,%and%to%ensure%compatibility%when%submap%updates%are%communicated%to%vehicles.%The%network%service%selects%the%vehicle,%and%base%the%selection%of%a%route%between%the%trip%start%and%trip%end,%to%avoid%road%segments%which%include%traction%values%that%are%below%a%safe%threshold.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%a%flowchart%illustrating%a%method%for%operating%a%vehicle%to%plan%a%trajectory%based%on%an%expected%traction%value%of%the%road%segment%on%which%the%vehicle%travels.%%%%Step%for%determining%an%expected%traction%value%for%a%region%of%a%road%segment%on%which%the%vehicle%is%approaching%(810)%%%%Step%for%determining%set%of%motion%parameters%(820)%%%%Step%for%implementing%vehicle%control%operation%(830)%",T06(ProcessandMachineControl),X22(AutomotiveElectrics),NA,US2017166216-A1ProvisionalApplicationUS265960P;US2017166216-A1CIPofApplicationUS376270
"Method for operating a network computer system to maintain information about vehicles that operate on a road network, involves determining a traction value for multiple regions of the road network and identifying region of the road network",BRADLEY D M;  WOOD M;  RANDER P,UBER TECHNOLOGIES INC (UBER-Non-standard),"%%%The%method%involves%determining%a%traction%value%for%multiple%regions%of%the%road%network.%The%region%of%the%road%network%is%identified%for%which%the%traction%value%is%known.%The%vehicle%(201)%is%directed%to%operate%over%a%region%of%the%road%network%where%the%traction%value%is%known%to%obtain%sensor%data%that%is%indicative%of%a%traction%capability%of%the%vehicle.%The%traction%capability%of%the%vehicle%is%determined%from%the%sensor%data.%The%autonomous%transport%vehicle%is%instructed%to%operate%over%the%region%after%determining%that%no%passengers%are%in%the%autonomous%vehicle.%%%%%-%Method%for%operating%a%network%computer%system%to%maintain%information%about%vehicles%that%operate%on%a%road%network.%%%%%-%The%method%involves%determining%a%traction%value%for%multiple%regions%of%the%road%network,%and%thus%enables%to%generate%the%vehicle%control%signal%for%the%interface%of%the%vehicle%interface%subsystem.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%non-transitory%computer%readable%medium%with%instructions%for%operating%a%network%computer%system%to%maintain%information%about%vehicles%that%operate%on%a%road%network.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%of%a%traction%mapping%service.%%%%Network%service%(200)%%%%Vehicle%(201)%%%%Vehicle%interface%(210)%%%%Vehicle%database%(240)%%%%Vehicle%route%planner%(250)%",T01(DigitalComputers),"T05(Counting,Checking,Vending,ATMandPOSSystems)",X22(AutomotiveElectrics),US2017168500-A1ProvisionalApplicationUS265960P;US2017168500-A1CIPofApplicationUS376270
"Method for operating autonomous vehicle, involves determining traction value for surface of segment, associating value with location of surface and storing value with location of surface, where value is correlative to friction coefficient",RANDER P;  BRADLEY D M;  WOOD M,UBER TECHNOLOGIES INC (UBER-Non-standard),"%%%The%method%involves%determining%a%traction%value%for%a%surface%of%a%road%segment,%where%the%traction%value%is%correlative%to%a%coefficient%of%friction.%The%traction%value%is%associated%with%a%location%of%the%surface.%The%traction%value%is%stored%with%the%location%of%the%surface.%The%traction%value%and%the%location%of%the%surface%are%transmitted%to%a%network%service.%The%aggregated%traction%values%are%stored%in%a%geographic%data%structure%that%pairs%a%location%of%the%geographic%region%with%a%traction%value%determined%from%sensor%data%transmitted%from%multiple%vehicles.%%%%%-%Method%for%operating%an%autonomous%vehicle.%%%%%-%The%method%allows%the%vehicle%to%determine%whether%sufficient%traction%is%present%for%the%vehicle%to%be%safely%operable%for%individual%road%segments,%so%that%borderline%traction%by%the%vehicle%can%be%marginally%safe.%%%%%%-%An%INDEPENDENT%CLAIM%is%also%included%for%a%non-transitory%computer%readable%medium%comprising%a%set%of%instructions%for%operating%an%autonomous%vehicle.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%block%diagram%of%a%network%service%or%computer%system.%%%%Processor%(510)%%%%Main%memory%(520)%%%%ROM%(530)%%%%Storage%device%(540)%%%%Communication%interface%(550)%","S03(ScientificInstrumentation,photometry,calorimetry)",T01(DigitalComputers),T06(ProcessandMachineControl),US2017167881-A1ProvisionalApplicationUS265960P;US2017167881-A1CIPofApplicationUS376270
"Method for adjusting ride-sharing schedules for ride-sharing vehicle, involves generating adjustment request response based on adjustment cost, and providing adjustment request response as notification output by computing devices",KLEIN D V;  HOY J R,GOOGLE INC (GOOG-C),"%%%The%method%involves%determining%adjustment%cost%associated%with%an%adjustment%request%by%computing%devices,%where%the%adjustment%cost%is%indicative%of%impact%of%the%adjustment%request%to%initial%passengers%of%a%ride-sharing%vehicle.%An%adjustment%request%response%is%generated%by%the%computing%devices%based%on%the%adjustment%cost,%where%the%adjustment%request%response%includes%an%indication%of%decision%relative%to%the%adjustment%request.%The%adjustment%request%response%is%provided%as%a%notification%output%by%the%computing%devices.%%%%%-%Method%for%adjusting%ride-sharing%schedules%for%a%ride-sharing%vehicle.%s%include%but%are%not%limited%to%cars,%taxis,%bs,%trolleys,%trains,%vans,%lorries,%light%rails,%and%autonomous%vehicles.%%%%%-%The%method%enables%facilitating%dynamic%adjustment%of%bus%schedule%to%benefit%the%r%by%facilitating%access%to%desired%transportation%option%and%enhance%effectiveness%of%bus%capacity%and%fare%potential.%The%method%enables%using%allotted%delay%points%or%numbers%to%prevent%excessive%adjustment%requests%by%any%given%potential%additional%passenger,%and%help%a%potential%additional%passenger%to%allocate%given%delay%points%as%needed%to%affect%a%ride-sharing%schedule.%%%%%%-%An%INDEPENDENT%CLAIM%is%also%included%for%a%computing%device%for%adjusting%ride-sharing%schedules.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%screenshot%of%a%screen%for%adjusting%ride-sharing%schedules.%%%%Ride-sharing%schedule%(102)%%%%Planned%stops%(104,%106)%%%%r%(112)%%%%Ride%bus%(114)%%%%Shortest%path%(116)%%%%Planned%route%(118)%",T01(DigitalComputers),NA,NA,NA
"Autonomous aerial system for e.g. helicopter, has human-system interface device for receiving notification to indicate whether to touchdown at designated touchdown zone from aerial vehicle through communication transceiver",PADUANO J D;  WISSLER J B;  PIEDMONTE M D;  MINDELL D A,AURORA FLIGHT SCI CORP (AURO-Non-standard),"%%%The%system%has%a%human-system%interface%(HSI)%device%for%receiving%an%input%from%an%operator%representing%a%designated%touchdown%zone%within%a%landing%zone%through%a%r%input%device%i.e.%touch%screen,%and%transmitting%mission%plan%data%and%the%designated%touchdown%zone%to%an%aerial%vehicle%through%a%communication%transceiver.%The%device%receives%a%notification%to%indicate%whether%to%touchdown%at%the%designated%touchdown%zone%from%the%aerial%vehicle%through%the%communication%transceiver,%where%the%notification%is%presented%to%the%operator%by%a%display%device.%%%%%-%Autonomous%aerial%system%for%an%aerial%vehicle%e.g.%vertical%take-off%and%landing%aerial%vehicle%(claimed)%such%as%vertical%take-off%and%landing%aircraft%e.g.%fixed-wing%aircraft%i.e.%Harrier%jet,%rotorcraft%i.e.%helicopter,%and%tilt-rotor/tilt-wing%aircraft%i.e.%Osprey%aircraft.%Can%also%be%d%for%an%unmanned%vehicle,%manned%vehicle,%ground%vehicle,%aquatic%vehicle,%space%vehicle,%remote-controlled%vehicle,%large%vehicle%and%a%small%vehicle.%%%%%-%The%system%applies%concept%of%modularity%to%components%within%systems%or%vehicles%to%enhance%cross-system%compatibility,%while%simplifying%field%level%maintenance%and%repair.%The%system%ensures%safe%final%approach%and%stable%touchdown%and%environmental%awareness%during%launch%or%cruise.%The%system%allows%the%operator%to%enhance%safety%during%a%critical%landing%phase.%The%system%allows%extensive%control%of%quality-of-service%attributes%to%ensure%reliability,%bandwidth,%delivery%deadlines,%resource%limits,%priorities%and%information%assurance.%%%%%%-%The%mission%plan%data%comprises%a%launch%route%(204),%an%approach%route%(208)%and%a%flight%route.%An%INDEPENDENT%CLAIM%is%also%included%for%a%method%for%providing%communication%with%an%aerial%vehicle.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%timing%diagram%of%mission%phases%for%an%aerial%vehicle.%%%%Mission%phases%(200)%%%%Launch%route%(204)%%%%Approach%route%(208)%%%%Vehicle%initial%point%(220)%%%%Notification%waypoint%(222)%",T04(ComputerPeripheralEquipment),T06(ProcessandMachineControl),"W06(Aviation,MarineandRadarSystems)",US2017168507-A1ProvisionalApplicationUS909471P;US2017168507-A1ContofApplicationUS554852;US2017168507-A1ContofPatentUS9557742
"Method for optimizing object detection performed by autonomous vehicles, involves generating recommendation for adjustment of object detection parameter of several sensors in order to optimize object detection",ZHU J;  URMSON C P;  HAEHNEL D;  FAIRFIELD N;  SMITH R L,WAYMO LLC (WAYM-Non-standard),"%%%The%method%(1702)%involves%receiving%(1704)%sensor%data%captured%by%a%sensor%of%an%autonomous%vehicle.%The%second%object%labels%are%received%for%the%sensor%data.%A%difference%between%a%first%and%second%value%indicating%a%quantity%of%the%first%and%second%object%labels%applied%by%the%autonomous%vehicle%and%a%second%value%indicating%a%quantity%of%the%second%object%labels%are%determined.%A%recommendation%is%generated%for%an%adjustment%of%object%detection%parameter%of%several%of%sensors%in%order%to%optimize%object%detection.%%%%%-%Method%for%optimizing%object%detection%performed%by%autonomous%vehicles.%%%%%-%The%accuracy%of%the%objects%detected%by%the%autonomous%vehicle%is%increased,%the%object%identification%server%can%leverage%input%provided%by%reviewers.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for%the%following:%%%%(1)%a%system%for%optimizing%object%detection%performed%by%autonomous%vehicles;%and%%%%(2)%a%non-transitory%computer%storing%program%for%optimizing%object%detection%performed%by%autonomous%vehicles.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%flowchart%illustrating%for%optimizing%object%detection%parameters.%%%%Method%for%optimizing%object%detection%performed%by%autonomous%vehicles%(1702)%%%%Step%for%receiving%sensor%data%(1704)%%%%Step%for%presenting%capture%image%(1706)%%%%Step%for%performing%object%detection%(1710)%%%%Step%for%displaying%optimized%value%(1712)%",T01(DigitalComputers),T04(ComputerPeripheralEquipment),NA,US9679191-B1ProvisionalApplicationUS391271P;US9679191-B1ProvisionalApplicationUS390094P;US9679191-B1ContofApplicationUS200958;US9679191-B1ContofPatentUS9122948
Drone control system for controlling drone has onboard flight system that tracks position of drone by merging inertial tracking data and pseudo global positioning system (GPS) signal,KAHN Y,ELBIT SYSTEMS LAND & C4I LTD (ELBS-C),"%%%The%system%(100)%has%an%interface%(104)%that%produces%pseudo%GPS%signal%indicating%position%of%drone%(110)%and%provides%pseudo%GPS%signal%to%onboard%flight%system%(112)%of%drone.%The%format%of%pseudo%GPS%signal%is%fully%compliant%with%standard%navigational%data%transmission%protocol%employed%by%onboard%flight%system.%The%onboard%flight%system%receives%inertial%tracking%data%and%pseudo%GPS%signal,%tracks%the%position%of%drone%by%merging%inertial%tracking%data%and%pseudo%GPS%signal,%navigates%drone%accordingly,%and%receives%inertial%tracking%data%from%onboard%inertial%measuring%unit%of%drone.%%%%%-%Drone%control%system%for%controlling%drone.%%%%%-%Allows%for%highly%accurate%tracking%and%positioning%of%the%drone.%Provides%control%system%that%is%easily%adapted%to%wide%range%of%drones%without%having%to%redesign%the%drones%themselves.%The%positioning%of%drone%by%the%onboard%flight%system%is%improved%since%accuracy%of%pseudo-GPS%signal%exceeds%the%accuracy%of%conventional%onboard%GPS%sensor%of%drone.%Improves%positioning%of%the%drone%without%replacing%or%modifying%the%native%flight%system%and%thus%employed%for%controlling%various%drones%and%other%autonomous%vehicles.%The%drone%is%positioned%with%great%accuracy%resulting%from%the%high%accuracy%of%position%detection%performed%by%the%remote%sensor.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%drone%control%method%for%controlling%a%drone.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%block%diagram%of%the%drone%control%system.%%%%Drone%control%system%(100)%%%%Interface%(104)%%%%Drone%(110)%%%%Onboard%flight%system%(112)%%%%Inertial%navigation%system%(114)%","W06(Aviation,MarineandRadarSystems)",NA,NA,NA
"Backend communication system for manage communications in fleet of autonomous vehicles, has processors for receive data packets from fleet of autonomous vehicles over communication channels and transmitting acknowledgments over channel",ROSS W;  AITKEN M,UBER TECHNOLOGIES INC (UBER-Non-standard),"%%%The%system%has%processors%for%transmitting%data%packets%to%fleet%of%autonomous%vehicles%(AVs)%(420)%using%communication%channels%other%than%a%designated%communication%channel.%The%processor%receives%acknowledgments%(ACKs)%from%the%AV%over%the%designated%communication%channel%based%on%transmitting%the%data%packets%to%the%fleet%of%AVs.%The%processor%receives%data%packets%from%the%fleet%of%AVs%over%communication%channels%other%than%the%designated%communication%channel.%The%processor%transmits%ACKs%over%the%designated%communication%channel%based%on%receiving%the%data%packets%from%the%fleet%of%AVs.%%%%%-%Backend%communication%system%for%manage%communications%in%a%fleet%of%AVs%using%transmission%control%protocol%(TCP).%%%%%-%The%system%utilizes%a%localization%to%enable%the%AV%to%tune%or%beam%steer%a%communications%array%to%maximize%communication%link%quality%and%minimize%interference%with%other%communications%from%other%AVs.%The%system%can%coordinate%the%AV%and%proximate%the%AVs%to%dynamically%form%mesh%networks%in%order%relay%communications%through%optimal%lowest-cost/highest%bandwidth%networks%when%cost%and%network%latency/reliability%are%major%factors%in%communications.%%%%%%-%INDEPENDENT%CLAIMS%are%also%included%for%the%following:%%%%(1)%a%method%for%providing%data%communications%%%%(2)%a%non-transitory%computer%readable%medium%comprising%a%set%of%instructions%for%providing%data%communications.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%of%a%network%resource%map%utilized%by%a%backend%system%and%an%AV.%%%%Autonomous%vehicles%(AVs)%%%%Network%resource%map%(400)%%%%Datacenter%region%(405)%%%%AVs%(420)%%%%Mesh%networks%(430,%440)%%%%Off%network%AVS%(435)%",T01(DigitalComputers),W01(TelephoneandDataTransmissionSystems),"W02(Broadcasting,RadioandLineTransmissionSystems)",NA
"System for tracking autonomous vehicles by using computing device for fleet management purposes, has processor transmitting configuration commands to proximate vehicles to cause proximate vehicles to establish mesh network with vehicles",ROSS W;  AITKEN M,UBER TECHNOLOGIES INC (UBER-Non-standard),"%%%The%system%has%a%processor%for%determining%that%respective%one%of%a%set%of%autonomous%vehicles%(AVs)%(420)%enters%one%of%network-limited%areas.%The%processor%transmits%reroute%commands%to%proximate%AVs%relative%to%the%respective%AV%in%response%to%determining%that%the%respective%AV%enters%a%network-limited%area%to%facilitate%a%mesh%network%(430)%to%relay%communications%from%the%respective%AV.%The%processor%transmits%configuration%commands%to%the%proximate%AVs%to%ca%the%proximate%AVs%to%establish%the%mesh%network%with%the%respective%AV.%%%%%-%System%for%tracking%AVs%by%using%a%computing%device%for%fleet%management%purposes%on%public%roads%and%highways.%s%include%but%are%not%limited%to%a%desktop%computer,%cell%phone,%personal%digital%assistant%(PDA),%laptop%computer,%tablet%device,%internet%protocol%TV,%digital%picture%frame,%network%equipment%i.e.%router,%and%tablet%device.%%%%%-%The%system%allows%a%localization%element%to%enable%the%AV%to%tune%or%beam%steer%a%communications%array%in%order%to%maximize%communication%link%quality%and%minimize%interference%with%other%communications%from%other%AVs%through%optimal%lowest-cost/highest%bandwidth%networks.%%%%%%-%INDEPENDENT%CLAIMS%are%also%included%for%the%following:%%%%(1)%a%non-transitory%computer%readable%medium%comprising%a%set%of%instructions%for%controlling%an%AV%tracking%system%%%%(2)%a%computer-implemented%method%for%establishing%mesh%networks%for%tracking%an%AV.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%of%a%network%resource%map%utilized%by%a%backend%system%and/or%an%autonomous%vehicle.%%%%Network%resource%map%(400)%%%%Data%center%region%(405)%%%%Relay%tower%(411)%%%%AVs%(420,%422)%%%%Mesh%networks%(430,%440)%",T01(DigitalComputers),W01(TelephoneandDataTransmissionSystems),NA,NA
Motor vehicle has maneuver control unit that is provided for generating and transmitting control instructions for avoidance maneuver to central control unit,MOHAMED W;  HEILFORT F,PORSCHE AG F (PORS-C),"%%%The%motor%vehicle%has%a%driver%assistance%system%that%is%provided%for%autonomous%or%semi-autonomous%design%of%collision-avoiding%and/or%reducing%collusion%and/or%optimum%crash%position%of%vehicle.%A%drive%system%is%drive-connected%with%front%wheels%(14,16)%and/or%rear%wheels%(18,20).%A%detection%control%unit%is%provided%for%obtaining%data%from%an%environment%socket%unit.%A%maneuver%control%unit%is%provided%for%generating%and%transmitting%the%control%instructions%for%avoidance%maneuver%to%a%central%control%unit.%The%front%wheels%are%provided%with%an%electromotive%drive.%%%%%-%Motor%vehicle.%%%%%-%Since%the%maneuver%control%unit%is%provided%for%generating%and%transmitting%the%control%instructions%for%avoidance%maneuver%to%central%control%unit,%the%front%wheels%of%motor%vehicle%are%driven%and/or%braked.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%method%for%operating%driver%assistance%system%of%motor%vehicle.%%%%%OF%DRAWING(S)%-%The%drawings%show%the%schematic%views%illustrating%the%driving%conditions%of%motor%vehicle.%%%%Vehicles%(2,4,6,8)%%%%Front%region%(10)%%%%Rear%area%(12)%%%%Front%wheels%(14,16)%%%%Rear%wheels%(18,20)%",X22(AutomotiveElectrics),NA,NA,NA
"Method for providing access to radio access network e.g. ZigBee network, for nodes in factory automation, involves broadcasting broadcast message that is indicative of time slots assigned to nodes, and exchanging data during assigned slots",ANSARI J,TELEFONAKTIEBOLAGET ERICSSON L M (TELF-C),"%%%The%method%(500)%involves%receiving%a%set%of%access%requests%(602)%from%a%set%of%nodes%at%an%access%point,%where%each%access%request%specifies%one%of%the%nodes%and%access%parameters%for%data%to%be%exchanged.%A%broadcast%message%(604)%is%broadcasted,%where%the%broadcast%message%is%indicative%of%time%slots%(606)%assigned%to%the%nodes%based%on%the%access%requests.%The%data%is%exchanged%during%the%assigned%time%slots,%where%the%set%of%access%requests%is%received%in%first%phase%(502)%and%the%broadcast%message%is%broadcasted%in%second%phase%(504)%different%from%the%first%phase.%%%%%-%Method%for%providing%access%to%a%radio%access%network%e.g.%Wireless-Fidelity%network%and%ZigBee%network,%for%nodes%in%a%factory%automation%application.%s%include%but%are%not%limited%to%sensors,%actuators,%home%appliances,%autonomous%vehicles%and%industrial%manufacturing%equipments.%%%%%-%The%method%enables%sending%the%broadcast%message%by%the%access%point%to%indicate%the%time%slot%assignment%information%for%implicit%time%synchronization%at%terminal%nodes%such%that%the%nodes%can%easily%and%implicitly%time-synchronize%with%the%access%point%without%requiring%an%additional%or%explicit%control%message%and/or%without%need%for%highly%accurate%oscillators%at%the%nodes,%while%reducing%delays%cad%by%control%signaling,%thus%improving%effective%data%rate.%The%method%ensures%that%subsets%of%nodes%can%be%grouped%for%contention-based%access,%so%that%number%of%contenders%can%be%minimized%at%given%time%so%as%to%reduce%number%of%collisions%and%ensure%better%radio%resource%utilization.%%%%%%-%The%access%parameters%include%one%of%a%source%address,%a%destination%address%for%the%data,%amount%of%data%and%a%class%indicator%for%the%data,%where%the%class%indicator%specifies%one%of%a%quality%of%service%(QoS)%for%the%data%and%priority%for%the%data.%INDEPENDENT%CLAIMS%are%also%included%for%the%following:%%%%(1)%a%method%for%requesting%access%to%a%radio%access%network%%%%(2)%a%computer%program%product%comprising%a%set%of%instructions%for%requesting%access%to%a%radio%access%network%%%%(3)%a%computer%program%product%comprising%a%set%of%instructions%for%providing%access%to%a%radio%access%network%%%%(4)%an%access%equipment%for%providing%access%to%a%radio%access%network%%%%(5)%a%node%equipment%for%requesting%access%to%a%radio%access%network%%%%(6)%a%device%for%providing%access%to%a%radio%access%network%%%%(7)%a%device%for%requesting%access%to%a%radio%access%network.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%of%interleaved%phases%of%cycles%in%a%method%for%providing%access%to%a%radio%access%network.%%%%Method%for%providing%access%to%radio%access%network%(500)%%%%Phases%(502,%504)%%%%Access%requests%(602)%%%%Broadcast%message%(604)%%%%Time%slots%(606)%",T01(DigitalComputers),W01(TelephoneandDataTransmissionSystems),"W05(Alarms,Signalling,TelemetryandTelecontrol)",NA
"Multifunctional camera unit for coupling to e.g. mobile robot system used for tracking objects such as unmanned aerial vehicles, comprises several camera carriages having respective camera, ring lighting and dot projector",MULLER J;  HORN J,UNIV HAMBURG SCHMIDT HELMUT (UYHA-Non-standard);  HAMBURG INNOVATION GMBH (HAMB-Non-standard),"%%%The%multifunctional%camera%unit%comprises%several%camera%carriages%(14)%which%are%movably%arranged%on%the%respective%circular%paths%for%recognition%and%tracking%of%the%static%and%dynamic%objects.%The%camera%carriages%have%a%respective%camera%(18),%ring%lighting%and%a%dot%projector.%The%camera%unit%further%comprises%a%static%central%camera%(11)%with%a%dot%projector%(12)%for%recognition%and%tracking%of%static%and%dynamic%objects,%and%a%ring%lighting%(13).%%%%%-%Multifunctional%camera%unit%for%coupling%a%mobile%support%system,%in%particular%a%mobile%robot%system%d%for%tracking%objects%such%as%unmanned%aerial%vehicles%(UAVs),%and%for%%in%mobile%robotics,%safety%engineering,%etc.%%%%%-%The%robot%system%classifies%and%organizes%locally%by%internal%computed%space%coordinates%of%interesting%static%and%dynamic%objects%identified%as%farther%flight%drones.%The%robot%system%is%d%efficiently%in%applications%with%high-complex%and%fully%autonomous%problems.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%method%for%determination%of%positional%data%of%interesting%object.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%side%sectional%view%of%a%multifunctional%camera%unit.%%%%Static%central%camera%(11)%%%%Dot%projector%(12)%%%%Ring%lighting%(13)%%%%Camera%carriage%(14)%%%%Camera%(18)%",P82(Photographicapparatus),T06(ProcessandMachineControl),"W02(Broadcasting,RadioandLineTransmissionSystems)",W04(Audio/VideoRecordingandSystems)
